query_text,emotion,intent,urgency,stress_index,escalation_count
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,95,3
"This is unacceptable! The server has been offline for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,94,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,91,4
"This is unacceptable! The server has been unresponsive for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,91,4
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,90,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,98,4
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,93,4
"This is unacceptable! The server has been unresponsive for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,96,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,94,2
"This is unacceptable! The server has been not working for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,96,3
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,93,3
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,96,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,95,4
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,90,4
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,91,3
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,94,4
"This is unacceptable! The server has been crashed for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,99,2
"This is unacceptable! The server has been offline for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,100,2
"This is unacceptable! The server has been offline for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,93,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,97,4
"This is unacceptable! The server has been not working for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,95,3
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,94,4
"This is unacceptable! The server has been offline for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,99,4
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,93,2
"This is unacceptable! The server has been down for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,94,4
"This is unacceptable! The server has been not working for 2 hours, and our team is losing thousands of dollars!",frustrated,technical_support,critical,100,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,92,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,87,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,87,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,93,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,88,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,96,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,92,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,97,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,93,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,94,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,91,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,90,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,95,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,91,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,96,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,96,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,92,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,89,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,94,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,87,3
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,89,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,89,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,93,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,88,4
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,93,5
I have been trying to get this database restored for over two hours now! It is extremely critical and we are losing sales.,angry,technical_support,critical,94,5
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,88,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,87,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,83,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,84,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,91,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,93,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,84,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,89,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,90,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,87,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,85,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,84,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,87,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,91,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,86,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,88,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,91,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,83,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,88,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,83,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,88,2
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,86,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,86,3
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,84,1
